YEAR,INFLATION,UNEMPLOYMENT
1990,13.2,8.1
1991,19.4,3.7
1992,8.6,3.8
1993,6.8,3.86
1994,15.2,3.77
1995,6.9,3.68
1996,8.3,3.61
1997,5.6,3.6
1998,9.4,3.7
1999,6.2,3.85
2000,6.5,3.83
2001,5.4,3.7
2002,2.8,3.62
2003,2.2,3.53
2004,4.8,3.55
2005,6.6,3.8
2006,5.4,4.5
2007,2.9,3.43
2008,8.2,3.72
2009,4.2,3.86
2010,3.7,3.61
2011,4.7,3.6
2012,3.2,3.5
2013,2.6,3.5
2014,3.6,3.6
2015,0.7,3.7
2016,1.2,2.7
2017,2.9,2.6
2018,5.3,2.34
2019,2.4,5.1
2020,2.4,10.3
2021,3.9,7.8
2022,5.8,5.4
2023,6,4.6
2024,3.3,3.8
