ID,Age,Gender,Region,Urban/Rural,Household Income (PHP),Parental Education,"OSY Status (1=Yes, 0=No)",Reason Not in School,"ALS Participation (1=Yes, 0=No)"
1,21,Female,Zamboanga Peninsula,1,25781,HS Graduate,0,Family Help Needed,0
2,18,Male,Cagayan Valley,1,23051,HS Graduate,0,Early Marriage,0
3,22,Male,BARMM,1,49649,Vocational,0,Early Marriage,0
4,19,Female,Central Visayas,1,16949,HS Graduate,0,Financial,0
5,21,Female,Ilocos Region,0,52289,Elementary,0,N/A,0
6,24,Male,Eastern Visayas,0,18017,HS Graduate,0,Financial,1
7,17,Male,Northern Mindanao,1,16941,College,1,Work at Home,0
8,21,Female,CAR,1,35934,College,0,Financial,0
9,22,Male,Western Visayas,0,33386,Vocational,0,Financial,1
10,19,Female,Zamboanga Peninsula,1,20209,Elementary,0,Family Help Needed,0
11,18,Female,Central Luzon,1,27715,College,0,Early Marriage,1
12,22,Male,SOCCSKSARGEN,0,38920,College,0,N/A,0
13,22,Male,Western Visayas,1,41703,Elementary,0,Financial,0
14,17,Female,CALABARZON,0,52318,HS Graduate,0,N/A,1
15,20,Female,SOCCSKSARGEN,1,14637,HS Graduate,1,Financial,0
16,19,Male,Ilocos Region,0,14854,Vocational,0,Work at Home,0
17,16,Female,Central Visayas,0,53088,HS Graduate,0,Financial,0
18,22,Male,Caraga,0,47660,Elementary,1,Family Help Needed,1
19,20,Female,CAR,1,49811,College,0,Early Marriage,0
20,16,Male,Caraga,0,59289,HS Graduate,0,Work at Home,0
21,19,Male,Davao Region,1,29856,Vocational,0,Financial,0
22,15,Male,NCR,1,31833,HS Graduate,0,N/A,0
23,24,Female,Cagayan Valley,1,29963,Elementary,0,Work at Home,0
24,20,Female,Cagayan Valley,1,46932,Vocational,1,Work at Home,0
25,23,Male,BARMM,0,37169,HS Graduate,1,Financial,0
26,15,Female,Zamboanga Peninsula,0,17941,Vocational,0,Work at Home,0
27,24,Male,Bicol Region,1,24388,Elementary,1,N/A,1
28,17,Male,NCR,1,15569,College,1,Work at Home,0
29,21,Female,Northern Mindanao,0,14300,Elementary,0,N/A,0
30,18,Female,MIMAROPA,1,49037,Elementary,0,Financial,0
31,23,Male,Ilocos Region,0,46586,Elementary,0,Early Marriage,0
32,17,Female,Central Visayas,1,22015,Elementary,1,Work at Home,0
33,19,Female,Davao Region,1,55002,College,1,Early Marriage,0
34,17,Male,Davao Region,0,16254,College,0,N/A,1
35,21,Male,MIMAROPA,1,27144,Vocational,0,Work at Home,0
36,19,Female,Western Visayas,0,34214,HS Graduate,1,Family Help Needed,0
37,23,Male,CALABARZON,1,50118,College,0,Early Marriage,1
38,21,Male,Bicol Region,1,25183,College,1,Work at Home,0
39,16,Female,SOCCSKSARGEN,1,16238,HS Graduate,1,Early Marriage,0
40,18,Male,NCR,0,16090,College,0,Work at Home,1
41,23,Male,Central Luzon,1,21637,Elementary,0,Financial,0
42,16,Female,Central Visayas,1,32415,Elementary,0,Early Marriage,0
43,24,Female,CAR,1,34071,HS Graduate,0,Family Help Needed,0
44,23,Male,SOCCSKSARGEN,1,55415,Vocational,0,Family Help Needed,1
45,24,Male,Zamboanga Peninsula,0,52679,Vocational,0,N/A,0
46,19,Female,BARMM,0,51240,HS Graduate,1,Work at Home,0
47,16,Female,MIMAROPA,1,28271,HS Graduate,0,Early Marriage,0
48,18,Female,Eastern Visayas,0,46034,Elementary,1,N/A,0
49,21,Female,Davao Region,1,43434,Vocational,0,Early Marriage,1
50,22,Male,Ilocos Region,1,14188,College,1,Work at Home,0
51,17,Female,Ilocos Region,1,59823,Elementary,0,Family Help Needed,1
52,15,Female,NCR,0,20161,HS Graduate,1,Financial,1
53,18,Male,Cagayan Valley,0,38732,Vocational,0,Family Help Needed,0
54,16,Female,CAR,0,21314,College,0,N/A,0
55,22,Male,Central Visayas,0,33954,College,0,Financial,0
56,18,Female,SOCCSKSARGEN,0,31508,Elementary,1,N/A,0
57,16,Female,Ilocos Region,0,31969,Vocational,0,Work at Home,0
58,20,Female,CAR,0,55659,Vocational,1,Financial,0
59,20,Male,Western Visayas,0,47545,HS Graduate,0,N/A,0
60,24,Male,MIMAROPA,0,46668,Vocational,1,Work at Home,0
61,18,Female,Central Luzon,1,33061,Vocational,1,Family Help Needed,0
62,20,Male,Davao Region,0,23716,Elementary,1,Work at Home,1
63,16,Male,CAR,0,49749,Vocational,0,Early Marriage,0
64,24,Male,MIMAROPA,0,49144,College,0,Work at Home,0
65,16,Male,Caraga,0,26907,Elementary,1,Work at Home,0
66,24,Male,MIMAROPA,0,28777,Elementary,0,Early Marriage,1
67,18,Male,NCR,0,37693,HS Graduate,0,N/A,0
68,22,Female,BARMM,0,52928,Vocational,0,N/A,0
69,21,Female,Caraga,0,36329,HS Graduate,0,Work at Home,0
70,23,Male,MIMAROPA,0,56892,College,0,Early Marriage,0
71,22,Female,Davao Region,0,26282,Elementary,0,Early Marriage,1
