YEAR,INF,UNEMP,GDP,EXR,INTR
1990,13.2,8.1,31,24.31,9.9
1991,19.4,3.7,-0.4,27.38,5.7
1992,8.6,3.8,0.4,25.51,10.7
1993,6.8,3.86,2.2,27.12,7.4
1994,15.2,3.77,4.4,26.42,4.5
1995,6.9,3.68,4.6,25.71,6.5
1996,8.3,3.61,5.9,26.22,6.6
1997,5.6,3.6,5.2,29.47,9.4
1998,9.4,3.7,-0.5,40.89,5.8
1999,6.2,3.85,3.3,39.09,5.1
2000,6.5,3.83,4.4,44.19,4.8
2001,5.4,3.7,3,50.99,6.4
2002,2.8,3.62,3.7,51.6,4.7
2003,2.2,3.53,5.1,54.2,6.1
2004,4.8,3.55,6.6,56.4,4
2005,6.6,3.8,4.9,55.09,4
2006,5.4,4.5,5.3,51.31,4.4
2007,2.9,3.43,6.5,46.15,5.4
2008,8.2,3.72,4.3,44.32,1.5
2009,4.2,3.86,1.4,47.68,5.7
2010,3.7,3.61,7.3,44.11,3.2
2011,4.7,3.6,3.9,43.31,2.6
2012,3.2,3.5,6.9,42.23,3.6
2013,2.6,3.5,6.8,42.45,2.4
2014,3.6,3.6,6.3,44.4,6.3
2015,0.7,3.7,6.3,45.5,6.3
2016,1.2,2.7,7.1,47.49,4.3
2017,2.9,2.6,6.9,50.04,3.2
2018,5.3,2.34,6.3,52.66,2.3
2019,2.4,5.1,6.1,51.8,6.4
2020,2.4,10.3,-9.5,49.62,2
2021,3.9,7.8,5.7,49.25,2
2022,5.8,5.4,7.6,54.58,5.5
2023,6,4.6,5.5,55.63,6.5
2024,3.3,3.8,5.7,57.29,5.7
